message,label
Your joining formalities will begin next week.,legitimate
Your monthly bill is ready. Please pay before the due date.,legitimate
Your Amazon order has been shipped and will arrive tomorrow.,legitimate
Your bank account has suspicious activity. Share your OTP to secure it.,scam
You have been selected for a job. Pay the registration fee.,scam
Your online transaction has failed. Click this link to receive your money back.,scam
Please check your official college email for the timetable.,legitimate
Your KYC verification requires your ATM PIN and OTP. Send them now.,scam
Your credit card has been used for an international transaction. Share the OTP to cancel it.,scam
Your KYC has expired. Click the link and complete verification immediately.,scam
Your account is under investigation. Provide your Aadhaar number and OTP for verification.,scam
Your credit card payment of ₹2000 has been received.,legitimate
Your bank account verification is pending. Click this link and enter your password.,scam
Urgent payment required to prevent your electricity service from being disconnected.,scam
Work from home opportunity available. Pay ₹999 to activate your account.,scam
Your online banking password has expired. Click this link to renew it.,scam
Your salary has been credited to your account.,legitimate
Your application has been shortlisted for the next interview round.,legitimate
Pay Rs 999 to claim your lottery prize.,scam
Your parcel is waiting. Pay the delivery charge using this link.,scam
Please attend the project review meeting tomorrow.,legitimate
Your bank account has been selected for a loan. Pay the processing fee to receive the amount.,scam
Your account has received a suspicious payment. Confirm your password to investigate it.,scam
"Your UPI payment of Rs 12,000 has been flagged. Share the OTP to reverse the transaction.",scam
Your bank transfer failed. Enter your card details to receive the amount back.,scam
Welcome to the company. Your joining date is Monday.,legitimate
Your SIM verification has expired. Send your identity details to keep the number active.,scam
Your UPI account has an unauthorized request. Approve the request to cancel the transaction.,scam
Police have issued a notice against you. Pay the fine immediately to avoid arrest.,scam
Your UPI account has been suspended. Send your OTP to reactivate it.,scam
You got selected for the company Cognizant.,legitimate
Your online order has been packed and will be shipped soon.,legitimate
Your attendance report has been updated.,legitimate
Your internship interview link has been sent to your registered email.,legitimate
HR has selected you. Send your UPI PIN to complete salary verification.,scam
Your college examination starts Monday.,legitimate
"Earn Rs 10,000 per day from home. Pay a registration fee to start.",scam
Your insurance policy has won a bonus. Pay the processing fee to receive it.,scam
"Congratulations, you have received an internship offer.",legitimate
Your ATM card is eligible for an upgrade. Provide your card details and OTP to continue.,scam
Your bank statement for August is now available.,legitimate
"Your credit card payment of Rs 3,500 was successful.",legitimate
Your appointment with the service center is confirmed.,legitimate
Your recharge of ₹199 was successful.,legitimate
Please check the official college portal for examination updates.,legitimate
Your mobile recharge failed. Click this link and enter your card details for a refund.,scam
Your order has been dispatched and is expected to arrive Friday.,legitimate
Your job offer is confirmed. Pay the joining fee before receiving your appointment letter.,scam
Your interview is scheduled for Wednesday at 11 AM.,legitimate
Your payment of ₹500 was successful.,legitimate
The college will remain closed tomorrow due to a holiday.,legitimate
Your job application has been received successfully.,legitimate
Your online banking access will expire today. Confirm your password using this link.,scam
Your mobile number has been selected for a free gift. Pay the delivery charge to receive it.,scam
Your bank statement is ready to view.,legitimate
Your order has been delivered successfully.,legitimate
The meeting is scheduled for 3 PM today.,legitimate
Congratulations! Your mobile number has won a cash reward. Pay the verification fee.,scam
You have been selected for the position and the HR team will contact you shortly.,legitimate
Your mobile wallet refund is ready. Enter your PIN to receive the money.,scam
Your refund has been credited to your account.,legitimate
Your refund has been processed successfully.,legitimate
Your bank statement is available in your mobile banking app.,legitimate
Your certificate is ready for collection from the office.,legitimate
Your bank branch appointment has been scheduled.,legitimate
Pay Rs 500 to unlock your blocked UPI account.,scam
Congratulations! You have been selected. Send your bank details to receive salary.,scam
Your courier has an unpaid delivery charge. Pay immediately through the provided link.,scam
Your course registration was completed successfully.,legitimate
Urgent! Your bank account will be closed today unless you verify your KYC through this link.,scam
Please bring your project file to college tomorrow.,legitimate
Your scholarship application has been received.,legitimate
Your bank account needs immediate verification because of a suspicious login.,scam
Congratulations! You got a job. Pay ₹5000 to receive your offer letter.,scam
Your parcel is held at customs because of an unpaid fee. Pay now to avoid cancellation.,scam
"Congratulations! You have won Rs 2,00,000. Pay Rs 1,500 to release the prize.",scam
Your subscription has been renewed successfully.,legitimate
You won a lottery! Pay a processing fee to receive your prize.,scam
Your order has been delivered successfully.,legitimate
Your order is out for delivery.,legitimate
Your electricity connection will be disconnected today. Pay immediately through this link.,scam
Your order has been shipped and will arrive tomorrow.,legitimate
Are you coming to the college festival tomorrow?,legitimate
Urgent! Confirm your banking password within 30 minutes or your account will be closed.,scam
HR would like to discuss your joining process.,legitimate
"Your refund is waiting. Enter your card number, CVV and OTP to receive it.",scam
Your flight booking has been confirmed.,legitimate
Your payment of Rs 750 was successfully completed.,legitimate
Your account requires urgent verification. Send your internet banking password to continue.,scam
Your ATM transaction failed. Send your PIN to receive a refund.,scam
Your parcel delivery failed. Pay ₹50 to reschedule delivery.,scam
Your interview has been successfully completed.,legitimate
"You have been shortlisted for a high-paying job. Pay Rs 3,000 for document verification.",scam
Please attend the department meeting at 2 PM.,legitimate
Your courier contains an important package. Pay the customs fee immediately.,scam
Your application status has been updated.,legitimate
Your bank has detected a suspicious transaction. Send your OTP to block it.,scam
Your insurance policy has a bonus waiting. Pay the verification charge to receive it.,scam
You have successfully completed the recruitment process.,legitimate
Your mobile recharge of Rs 299 was successful.,legitimate
Your college examination starts from Monday.,legitimate
Your parcel contains an important document. Pay the customs charge immediately.,scam
Someone attempted to access your internet banking. Click the link to secure your account.,scam
Your application for the software engineer role was successful.,legitimate
Your account has been selected for a special banking offer. Pay Rs 500 to activate it.,scam
Send us your OTP to receive your cashback reward.,scam
Your appointment letter has been issued.,legitimate
Your electricity bill has an overdue amount. Pay through this unknown link immediately.,scam
Your payment was declined. Please try again through the official app.,legitimate
Pay Rs 500 now to unlock your online shopping refund.,scam
Your monthly subscription has been renewed.,legitimate
Your hotel reservation has been confirmed.,legitimate
Your debit card has been blocked because of suspicious activity. Verify it using this link.,scam
Please bring your ID card for the examination.,legitimate
Your SIM card will be blocked today. Complete KYC immediately using this link.,scam
Your course registration has been completed.,legitimate
"Pay Rs 1,000 to unlock your blocked UPI account.",scam
Your credit card is eligible for a cash withdrawal offer. Pay the verification fee.,scam
You have been selected for a prize draw. Share your bank details to receive the reward.,scam
You have been selected for a work from home job. Pay ₹2000 registration fee.,scam
Your scholarship application has been received.,legitimate
The project submission deadline is next Monday.,legitimate
Congratulations on being selected for the internship.,legitimate
Earn ₹50000 per month from home. Pay ₹2000 joining fee.,scam
Your electricity bill payment was successful.,legitimate
Your flight booking has been confirmed.,legitimate
Please attend the scheduled interview tomorrow.,legitimate
Your digital wallet has been compromised. Transfer your balance to this secure account.,scam
Please send me the assignment when you get time.,legitimate
Your bank representative needs your PIN to complete the KYC process.,scam
Your digital wallet refund is ready. Enter your wallet PIN to receive it.,scam
Your UPI account has an unauthorized request. Approve the request to cancel it.,scam
The project presentation has been moved to Thursday.,legitimate
Your subscription has been renewed successfully.,legitimate
Your bank statement is available through the official banking application.,legitimate
Your class will begin at 9 AM tomorrow.,legitimate
Your bank account has been selected for a cash reward. Pay the activation charge.,scam
Your card has been blocked because of a suspicious purchase. Send your CVV to unblock it.,scam
Your campus placement selection has been confirmed.,legitimate
Your courier delivery failed. Pay Rs 50 through this link to reschedule it.,scam
Your phone number has won a cash prize. Send your bank details to claim it.,scam
Your parcel has reached the delivery center.,legitimate
Send money now to avoid legal action against your account.,scam
You have received an investment opportunity with guaranteed returns. Pay the joining amount now.,scam
Congratulations on being selected for the internship program.,legitimate
Your job has been confirmed. Send money for verification.,scam
Your credit card payment is overdue. Click the link and enter your card details to avoid penalties.,scam
Your recharge of ₹299 was completed successfully.,legitimate
Your payment receipt is available in the official application.,legitimate
Your bank has detected unusual activity and requires your full card information for verification.,scam
Your bank account will be blocked today. Pay immediately to keep it active.,scam
Your order has been packed and will be shipped soon.,legitimate
Your train ticket has been confirmed for tomorrow.,legitimate
Your examination hall ticket is available on the college portal.,legitimate
Job vacancy confirmed. Send OTP to complete employee verification.,scam
Your monthly subscription payment of ₹299 is scheduled for tomorrow.,legitimate
Your bank account will be frozen within 30 minutes. Verify your details now.,scam
Your payment account has been locked. Click the link and enter your login details.,scam
Your electricity bill payment of ₹1200 has been received.,legitimate
Your workshop registration is complete.,legitimate
Your salary has been credited to your bank account.,legitimate
Your UPI account will be closed unless you verify your details within 30 minutes.,scam
Your internship application is under review.,legitimate
The college bus will leave at 7 AM tomorrow.,legitimate
You have been selected for the next round of the interview.,legitimate
Your library book is due on Friday.,legitimate
Your UPI PIN needs to be updated immediately or your account will be suspended.,scam
Your online banking password has expired. Enter your current password and OTP to create a new one.,scam
Your mobile banking service will be disabled unless you verify your identity immediately.,scam
Your mobile bill has been generated for this month.,legitimate
Your electricity connection remains active and your bill is due next week.,legitimate
Your library book is due next week.,legitimate
Your insurance premium payment was successful.,legitimate
Your payment to ABC Store was completed successfully.,legitimate
Your ATM card will be blocked unless you confirm your PIN immediately.,scam
Your hotel reservation is confirmed for Saturday.,legitimate
Your account has received a suspicious login attempt. Send your password to confirm your identity.,scam
"Congratulations, you have been selected for the position.",legitimate
Your UPI ID has been selected for a special reward. Share your PIN to claim it.,scam
Your UPI account has been suspended. Click this link to reactivate it.,scam
Your debit card upgrade requires your card number and OTP.,scam
Your SIM card will be deactivated today. Verify your identity using this link.,scam
Your account has been selected for a cashback offer. Send your card details to claim it.,scam
Your workshop registration is confirmed.,legitimate
Your credit card has an unpaid transaction. Transfer Rs 100 to verify your account.,scam
Your account login was successful.,legitimate
"You have been selected for a high-paying job. Pay Rs 3,000 as a registration fee.",scam
Your account security check is pending. Provide your OTP and password to complete the process.,scam
Your account statement for July is now available.,legitimate
Your mobile recharge was completed successfully.,legitimate
Your payment was accidentally duplicated. Send your bank details so we can process the refund.,scam
Your electricity connection will be disconnected today unless you pay ₹2499 immediately.,scam
Your parcel has reached the local delivery center.,legitimate
"Good morning, I'll reach college by 9 AM.",legitimate
Your bank representative requires your ATM PIN for KYC verification.,scam
Your salary was credited successfully this month.,legitimate
Don't forget to submit your assignment before Friday.,legitimate
Your credit card will be cancelled unless you verify your account immediately.,scam
"You have been selected for a work from home job. Pay Rs 2,000 registration fee.",scam
"Congratulations, you have been selected for the next round of the interview.",legitimate
Your order has been delivered successfully.,legitimate
Please bring your college ID card tomorrow.,legitimate
Please call me when you reach home.,legitimate
The college will conduct a placement training session tomorrow.,legitimate
Your parcel is held at customs. Pay the release fee immediately using this link.,scam
Your bank account needs immediate verification because of a failed transaction.,scam
Your internship interview will be conducted online.,legitimate
Congratulations on your successful interview.,legitimate
Your account will be frozen within one hour. Click the verification link immediately.,scam
Your train reservation has been confirmed.,legitimate
Your monthly electricity bill is now available.,legitimate
Your interview selection has been confirmed by the HR department.,legitimate
You have been shortlisted for the software developer position.,legitimate
Your loan has been approved. Pay the processing fee to receive the money.,scam
"Your account has an unauthorized transaction of Rs 35,000. Share your OTP to cancel it.",scam
Your debit card will be disabled unless you verify your details immediately.,scam
Your KYC has expired. Click the link immediately to keep your account active.,scam
Your bank account has suspicious activity. Click this link to secure your account.,scam
Your college bus will arrive at the usual time tomorrow.,legitimate
Your lottery reward expires today. Pay the tax immediately to receive your prize.,scam
Your appointment with the service center is confirmed.,legitimate
Your UPI refund is waiting. Enter your UPI PIN to receive the refund.,scam
Your application has been successfully submitted.,legitimate
Your ATM card will be blocked. Confirm your PIN immediately.,scam
Your parcel is held at customs. Pay ₹799 immediately to release it.,scam
Your attendance percentage has been updated.,legitimate
Your PAN card needs urgent verification. Send your personal details now.,scam
